"* Required Fields","* Campos Requeridos"
"A new password was sent","Una contraseña nueva ha sido enviada"
"Account Dashboard","Panel de Control"
"Account Information","Información de cuenta"
"Account Sharing Options","Opciones de Cuenta compartida"
"Account information was successfully saved","La información de la cuenta se ha guardado"
"Action","Acción"
"Add New Address","Agregar domicilio nuevo"
"Add New Customer","Agregar nuevo cliente"
"Add New Customer Group","Agregar Nuevo grupo de clientes"
"Added From","Agregado desde"
"Additional Address Entries","Domicilios adicionales"
"Address","Domicilio"
"Address Book","Libreta de domicilios"
"Address Information","Información de domicilios"
"Addresses","Domicilios"
"Admin","Administrador"
"All","Todo"
"All Store Views","Todas las Vistas de Tienda"
"All countries","Todos los países"
"Always optional","Siempre opcional"
"Amount","Monto"
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Desea cancelar este nuevo domicilio?"
"Are you sure you want to delete this address?","¿Desea eliminar este domicilio?"
"Are you sure?","¿Estás seguro?"
"Array of Entity collections is expected","Grupo de colecciones de entidades es esperado"
"Assign a customer group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Volver"
"Back to Login","Volver al inicio de sesión"
"Bad request.","Mal solicitado."
"Bill to Name","Factura a nombre de"
"Billing Information","Información de facturación"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"CSV","CSV"
"Can't save address","No se puede guardar el domicilio"
"Can't save customer","No se puede guardar al cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No se puede compartir cuentas globales de clientes. Ya que algunas cuentas de clientes con el mismo email existen en sitios web múltiples y no pueden ser fusionados."
"Cancel","Cancelar"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Cambiar el domicilio de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar el domicilio de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Repetir contraseña"
"Confirmation Link Email","Enlace de dirección de correo confirmada"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Seguir comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Opciones para crear una cuenta nueva"
"Create New Customer Account","Crear cuenta nueva de cliente"
"Create Order","Crear pedido"
"Create an Account","Crear una cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear domicilio del cliente"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Direcciones del cliente"
"Customer Api","Api de Cliente"
"Customer Configuration","Configuración del Cliente"
"Customer Group","Grupo de Clientes"
"Customer Group was successfully deleted","Grupo de clientes eliminado exitosamente"
"Customer Group was successfully saved","Grupo de clientes guardado exitosamente"
"Customer Groups","Grupos de Clientes"
"Customer Information","Información del cliente"
"Customer Login","Inicio de sesión del cliente"
"Customer Since","Cliente Desde"
"Customer View","Vista del Cliente"
"Customer collection expected","Colección de cliente esperada"
"Customer doesn't have primary billing address","El cliente no tiene domicilio principal de facturación"
"Customer email already exists","Email de cliente ya existe"
"Customer website id must be specified, when using website scope.","El id del sitio web del cliente debe ser especificado, cuando utilice el alcance del sitio web."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección de Clientes"
"DD","FD"
"Date","Fecha"
"Date Added","Fecha en que se agregó"
"Date of Birth","Fecha de nacimiento"
"Date of Birth is required.","La Fecha de nacimiento es requerida."
"Day","Día"
"Days in Wishlist","Días en Lista de deseos"
"Default Addresses","Domicilios predeterminados"
"Default Billing Address","Domicilio de facturación predeterminado"
"Default Email Domain","Dominio de dirección de email predeterminado"
"Default Group","Grupo predeterminado"
"Default Shipping Address","Domicilio de envío predeterminado"
"Default Welcome Email","Email de bienvenida predeterminado"
"Delete","Eliminar"
"Delete Address","Eliminar domicilio"
"Delete Customer","Eliminar cliente"
"Delete Customer Group","Eliminar grupo de clientes"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar domicilio del cliente"
"Deleted Stores","Tiendas eliminadas"
"Details","Detalles"
"Disabled","Inhabilitado"
"Edit","Modificar"
"Edit Account Info","Modificar información de la cuenta"
"Edit Account Information","Modificar información de la cuenta"
"Edit Address","Modificar domicilio"
"Edit Address Entry","Modificar entrada de domicilio"
"Edit Customer Group ""%s""","Modificar Grupo de clientes ""%s"""
"Edit Customer Groups","Modificar Grupos de clientes"
"Edit Customer's Address","Modificar domicilio del cliente"
"Edit Group","Modificar grupo"
"Edit Newsletter Subscription","Modificar suscripción de noticias"
"Edit Newsletters","Modificar noticias"
"Edit Personal Information","Modificar Información personal"
"Email","Email"
"newsletter","Dirección de email"
"Email Sender","Remitente de email"
"Entity collection is expected","Colección de entidad esperada"
"Error during retrieval of option value: %s","Error en la recuperación de la opción de valor: %s"
"Ext. Price","Ext. Precio"
"Failed to confirm customer account.","No se pudo confirmar la cuenta del cliente."
"Fax","Fax"
"First Name","Nombre"
"First name can't be empty","El nombre no puede quedar vacío"
"Forgot Email Sender","Dirección de email del remitente olvidado"
"Forgot Email Template","Plantilla para email olvidado"
"Forgot Password","Se te olvidó tu contraseña"
"Forgot Your Password","Olvidaste tu contraseña"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde su Mi cuenta"" de su escritorio usted tiene la posibilidad de ver un resumen de su actividad reciente de la cuenta y actualizar la información de su cuenta. Elija uno de los enlaces siguientes para ver o modificar la información."""
"General Subscription","Suscripción general"
"Global","Global"
