" The customer doesn't exist in the system anymore"," El cliente ya no existe más en el sistema"
"""%s"" coupon code is not valid.","""%s"" no es un código válido de cupón."
"%s / %s rate:","%s / %s tasa:"
"%s for %s","%s para %s"
"%s order(s) successfully canceled","%s pedido(s) cancelado(s) satisfactoriamente"
"%s order(s) successfully put on hold","%s pedido(s) puesto(s) en espera satisfactoriamente"
"%s order(s) successfully released from holding status","%s pedido(s) liberado(s) del estatus de espera satisfactoriamente"
"* - Enter custom price excluding tax","* - Introduzca precio personalizado excluyendo impuestos"
"* - Enter custom price including tax","* - Introduzca precio personalizado incluyendo impuestos"
"About This Order:","Acerca de este pedido:"
"About Your Order","Acerca de su pedido"
"Account Information","Información de cuenta"
"Action","Acción"
"Actions","Acciones"
"Add","Añadir"
"Add Gift Messsage","Añadir mensaje al regalo"
"Add New Address","Añadir domicilio nuevo"
"Add Order Comments","Añadir comentarios al pedido"
"Add Products","Añadir productos"
"Add Selected Product(s) to Option","Añadir producto(s) seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir producto(s) seleccionado(s) al pedido"
"Add To Order","Añadir al pedido"
"Add Tracking Number","Añadir número de guía"
"Add a gift message for <strong>each gift item</strong>","Añadir mensaje de regalo para <strong>cada artículo de regalo</strong>"
"Add a gift message for the <strong>entire order</strong>","Añadir un mensaje al regalo para <strong>todo</strong> el pedido"
"Add comment to order","Añadir comentario al pedido"
"Add new comment to shipment","Añadir comentario nuevo al envío"
"Add new tracking number","Añadir número de guía nuevo"
"Add to Cart","Añadir al Carrito"
"Address","Domicilio"
"Adjustment Fee","Tarifa de Ajuste"
"Adjustment Fee:","Tarifa de Ajuste:"
"Adjustment Refund","Reembolso de Ajuste"
"Adjustment Refund:","Reembolso de Ajuste:"
"Allow Reorder","Permitir Repetir Pedido"
"Amount","Monto"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupón"
"Are you sure you want to cancel this order?","¿Está seguro que desea cancelar éste pedido?"
