"Add Recipient","Añadir destinatario"
"Allow for Guests","Habilitar para invitados"
"An invalid email address for recipient was entered.","Una de las direcciones de email no es válida."
"At least one recipient must be specified.","Debes ingresar al menos una dirección de email."
"Back","Regresar"
"Catalog Product Email to a Friend","El catálogo de Catalog Product Email to a Friend"
"Email Address","Email"
"Email Address:","Email:"
"Email templates","Plantillas de emails"
"Email to a Friend","Compartir por email"
"Email:","Email:"
"Enabled","Habilitado"
"Invalid Sender Information","Datos de envío no válidos"
"Invalid sender email.","Dirección de email no válida."
"Limit Sending By","Límite enviado por"
"Link to a friend was sent.","El enlace ya fué enviado a su(s) amigo(s)."
"The link to a friend was sent.","Enlace compartido."
"Max Products Sent in 1 Hour","Máximo de artículos enviados en 1 hora"
"Max Recipients","Máximo de receptores"
"Maximum %d email addresses allowed.","%d es el máximo de emails permitidos."
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"Recipient:","¿Quién recibe?"
"Remove Email","Eliminar email"
"Select email template","Seleccionar plantilla de email"
"Send Email","Enviar email"
"Send product to a friend","Enviar producto a un amigo"
"Sender:","¿Quién envía?"
"Some emails was not sent","Algunos emails no fueron enviados"
"Some problems with data.","Hubo problemas con los datos."
"You cannot email this product to a friend","No puedes compartir por email este artículo"
"You cannot send more than %d times in an hour","No puede compartir más de %d veces en una hora"
